year,vix_avg,regime,sharpe,return
2011,24.2,Stressed,0.035,-0.58
2012,17.8,Elevated,1.593,38.51
2013,14.2,Calm,1.854,38.86
2014,14.2,Calm,1.193,20.95
2015,16.7,Elevated,-0.011,-1.11
2016,15.8,Calm,1.861,40.12
2017,11.1,Calm,2.861,53.91
2018,16.6,Elevated,0.03,-0.92
2019,15.4,Calm,1.878,48.03
2020,29.3,Spike,0.908,18.33
2021,19.7,Elevated,1.953,54.87
2022,25.6,Spike,-0.62,-10.37
2023,16.9,Elevated,2.574,67.58
2024,15.6,Calm,1.455,36.34
2025,19.0,Elevated,1.177,27.74
2026,19.1,Elevated,1.099,13.83
