month,TV,DR,STR,PORT,SPY
2011-10-31,0.06,1.09,7.59,2.9,10.91
2011-11-30,-10.91,-6.56,-3.17,-6.92,-0.41
2011-12-31,5.76,-3.61,0.23,0.78,1.04
2012-01-31,14.33,17.27,4.64,11.98,4.64
2012-02-29,2.89,13.11,4.34,6.77,4.34
2012-03-31,17.9,10.09,3.22,10.35,3.22
2012-04-30,-0.98,-2.57,-0.67,-1.34,-0.67
2012-05-31,-11.06,-13.94,-6.01,-10.37,-6.01
2012-06-30,13.47,6.76,4.06,8.16,4.06
2012-07-31,3.37,1.63,1.18,2.13,1.18
2012-08-31,7.96,10.64,2.51,7.03,2.51
2012-09-30,10.98,1.6,2.54,5.03,2.54
2012-10-31,-2.66,-10.62,-1.82,-5.07,-1.82
2012-11-30,9.65,2.41,0.57,4.2,0.57
2012-12-31,-6.77,-1.42,0.89,-2.43,0.89
2013-01-31,12.69,5.31,5.12,7.72,5.12
2013-02-28,-1.17,-0.3,0.53,-0.3,1.28
2013-03-31,7.49,6.08,3.8,5.81,3.8
2013-04-30,-2.5,1.77,0.98,0.07,1.92
2013-05-31,-0.95,7.11,2.36,2.8,2.36
2013-06-30,-11.68,-2.34,2.64,-3.92,-1.33
2013-07-31,16.28,9.99,3.94,9.98,5.17
2013-08-31,-6.64,-1.04,-3.0,-3.56,-3.0
2013-09-30,4.84,4.7,1.6,3.68,3.16
2013-10-31,4.68,10.06,4.63,6.51,4.63
2013-11-30,6.25,6.91,2.96,5.39,2.96
2013-12-31,2.63,5.82,2.59,3.69,2.59
2014-01-31,-10.2,-2.24,-3.68,-5.44,-3.52
2014-02-28,4.67,10.26,4.55,6.5,4.55
2014-03-31,0.83,-5.59,0.83,-1.33,0.83
2014-04-30,1.94,-1.09,0.7,0.59,0.7
2014-05-31,9.12,8.99,2.32,6.79,2.32
2014-06-30,7.7,6.23,2.06,5.33,2.06
2014-07-31,-5.75,2.09,-1.34,-1.68,-1.34
2014-08-31,8.15,10.88,4.2,7.67,3.95
2014-09-30,-3.67,-0.96,-1.62,-2.09,-1.38
2014-10-31,-2.26,6.95,5.13,3.1,2.36
2014-11-30,4.89,9.19,2.75,5.6,2.75
2014-12-31,-5.9,-3.06,-1.93,-3.63,-0.25
2015-01-31,8.65,-1.73,-1.4,1.79,-2.96
2015-02-28,4.87,4.95,0.33,3.37,5.62
2015-03-31,-2.48,-5.26,-0.72,-2.9,-1.57
2015-04-30,7.36,3.58,0.98,3.98,0.98
2015-05-31,6.57,4.43,1.29,4.1,1.29
2015-06-30,-5.21,-5.79,-2.27,-4.4,-2.03
2015-07-31,-1.4,3.97,1.58,1.33,2.26
2015-08-31,2.44,-3.51,-1.89,-1.07,-6.1
2015-09-30,1.78,0.0,0.0,0.6,-2.55
